model,f1_mean,f1_std,roc_auc_mean,roc_auc_std
logistic_regression,0.6766394381256708,0.06149613474990862,0.7395752395752396,0.05207829813373969
decision_tree,0.7361274450835491,0.05057351811027784,0.5904904382516323,0.03550273659598037
random_forest,0.7656173325962431,0.037004998125526975,0.7390290518399971,0.051029470075025875
gradient_boosting,0.7635968798307888,0.04233805771924413,0.7094408815801851,0.03988465828576608
