model,f1_mean,f1_std,roc_auc_mean,roc_auc_std
logistic_regression,0.6856299379722537,0.026636658068645062,0.8335423588039866,0.03472009063751929
decision_tree,0.5557276649215867,0.018627978991957863,0.651954595791805,0.016739384570956313
random_forest,0.684184975231487,0.010029634377281965,0.8103349944629012,0.02756772342095838
gradient_boosting,0.6641760593606499,0.03326654021740601,0.8110838870431893,0.025440961285301027
